,mySupervisionList,RSL_List,trendIndicator
0,"Weichai Power Co., Ltd.",1.2660512438269382,-+++++
1,Aumann AG,1.2385426754040663,-+++++
2,"Baidu, Inc.",1.6818672270567303,+-++++
3,Bayerische Motoren Werke Aktiengesellschaft,1.071011925270322,-+--++
4,Bayer Aktiengesellschaft,1.0226191705885785,-+++++
5,Cancom SE,0.9807395637369728,----++
6,"Cisco Systems, Inc.",1.0832893583440477,++++++
7,CTS Eventim AG & Co. KGaA,1.223432152201418,++++++
8,FORTEC Elektronik AG,1.033526554007434,-++-++
9,iRobot Corporation,1.1126992843608228,++++++
10,"JD.com, Inc.",1.13832356456738,--++++
11,MULTI-UNITS LUXEMBOURG - Lyxor Euro Government Bond (DR) UCITS ETF - Acc,1.2319050979089325,-+++++
12,Nanogate AG,1.2437982134327226,-+--+-
13,"Proto Labs, Inc.",1.2149728243626814,+--+++
14,Siemens Healthineers AG,1.0934761008000704,--++++
15,Sixt SE,1.2706356861634733,-+++++
16,SLM Corporation,1.4658632716200346,++++++
17,Trip.com Group Limited,1.0673038570074678,+-+-++
18,TUI AG,1.1083826538282797,++--++
19,Volkswagen AG,1.083600799347576,-+++++
