,Date,open,high,low,close
0,18292.0,76.7149887084961,80.60638427734375,76.50431060791016,79.51072692871094
1,18302.0,79.88835906982422,81.29209899902344,79.25482177734375,80.40264892578125
2,18312.0,79.57780456542969,79.57780456542969,67.91566467285156,67.91566467285156
3,18322.0,74.23866271972656,75.2150650024414,66.12933349609375,70.89207458496094
4,18332.0,68.4299545288086,69.0610122680664,56.95415496826172,56.95415496826172
5,18342.0,55.74421691894531,64.20883178710938,55.74421691894531,63.30696105957031
6,18352.0,63.17776870727539,66.58150482177734,59.853538513183594,66.58150482177734
7,18362.0,67.88833618164062,71.31690979003906,67.88833618164062,70.26101684570312
8,18372.0,68.80261993408203,71.4858627319336,66.67591094970703,71.4858627319336
9,18382.0,72.99393463134766,77.25967407226562,71.81878662109375,77.25967407226562
10,18392.0,78.47537231445312,78.47537231445312,76.64185333251953,78.009521484375
11,18402.0,79.52666473388672,79.52666473388672,78.90386199951172,79.2052993774414
12,18412.0,80.17935943603516,83.07164001464844,80.17935943603516,83.07164001464844
13,18422.0,85.69487762451172,87.89958953857422,83.67949676513672,87.62307739257812
14,18432.0,87.1223373413086,91.31005096435547,87.1223373413086,88.09640502929688
15,18442.0,90.1267318725586,95.00699615478516,90.1267318725586,95.00699615478516
16,18452.0,95.41555786132812,97.38111114501953,95.14152526855469,95.98853302001953
17,18462.0,98.01139068603516,98.01139068603516,92.28909301757812,92.92435455322266
18,18472.0,94.70555877685547,113.50167846679688,94.70555877685547,110.92113494873047
19,18482.0,112.53335571289062,114.81192016601562,109.1866226196289,114.41011047363281
20,18492.0,115.36347198486328,126.30459594726562,115.36347198486328,124.7947006225586
21,18502.0,124.5925521850586,133.9488983154297,120.67180633544922,120.75167083740234
22,18512.0,112.62569427490234,117.1179428100586,111.8071060180664,111.93688201904297
23,18522.0,110.14996337890625,112.08662414550781,106.65599060058594,112.08662414550781
24,18532.0,114.76200866699219,116.58885955810547,112.82534790039062,112.9651107788086
25,18542.0,114.88180541992188,124.18575286865234,114.77198791503906,118.81501007080078
26,18552.0,115.7802505493164,117.3076171875,114.84187316894531,114.85185241699219
27,18562.0,116.39917755126953,118.82499694824219,108.5826644897461,118.82499694824219
28,18572.0,118.69000244140625,119.48999786376953,115.97000122070312,119.26000213623047
29,18582.0,120.30000305175781,120.30000305175781,113.8499984741211,116.02999877929688
30,18592.0,116.58999633789062,123.08000183105469,116.58999633789062,122.25
31,18602.0,123.75,127.87999725341797,121.77999877929688,127.87999725341797
32,18612.0,127.80999755859375,131.97000122070312,126.66000366210938,131.97000122070312
33,18622.0,136.69000244140625,136.69000244140625,129.41000366210938,129.41000366210938
34,18632.0,131.00999450683594,132.0500030517578,126.5999984741211,130.88999938964844
