Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,158.77999877929688,160.72999572753906,158.3300018310547,160.6199951171875,151.82955932617188,22622100
2020-01-03,158.32000732421875,159.9499969482422,158.05999755859375,158.6199951171875,149.9390106201172,21116200
2020-01-06,157.0800018310547,159.10000610351562,156.50999450683594,159.02999877929688,150.32655334472656,20813700
2020-01-07,159.32000732421875,159.6699981689453,157.32000732421875,157.5800018310547,148.95594787597656,21634100
2020-01-08,158.92999267578125,160.8000030517578,157.9499969482422,160.08999633789062,151.3285369873047,27746500
2020-01-09,161.83999633789062,162.22000122070312,161.02999877929688,162.08999633789062,153.21910095214844,21385000
2020-01-10,162.82000732421875,163.22000122070312,161.17999267578125,161.33999633789062,152.51016235351562,20725900
2020-01-13,161.75999450683594,163.30999755859375,161.25999450683594,163.27999877929688,154.34396362304688,21626500
2020-01-14,163.38999938964844,163.60000610351562,161.72000122070312,162.1300048828125,153.2568817138672,23477400
2020-01-15,162.6199951171875,163.94000244140625,162.57000732421875,163.17999267578125,154.2494659423828,21417900
2020-01-16,164.35000610351562,166.24000549316406,164.02999877929688,166.1699981689453,157.07583618164062,23865400
2020-01-17,167.4199981689453,167.47000122070312,165.42999267578125,167.10000610351562,157.95489501953125,34371700
2020-01-21,166.67999267578125,168.19000244140625,166.42999267578125,166.5,157.3878173828125,29517200
2020-01-22,167.39999389648438,167.49000549316406,165.67999267578125,165.6999969482422,156.6315155029297,24138800
2020-01-23,166.19000244140625,166.8000030517578,165.27000427246094,166.72000122070312,157.595703125,19680800
2020-01-24,167.50999450683594,167.52999877929688,164.4499969482422,165.0399932861328,156.00767517089844,24918100
2020-01-27,161.14999389648438,163.3800048828125,160.1999969482422,162.27999877929688,153.3987274169922,32078100
2020-01-28,163.77999877929688,165.75999450683594,163.07000732421875,165.4600067138672,156.40469360351562,24899900
2020-01-29,167.83999633789062,168.75,165.69000244140625,168.0399932861328,158.8434600830078,34754500
2020-01-30,174.0500030517578,174.0500030517578,170.7899932861328,172.77999877929688,163.3240509033203,51597500
2020-01-31,172.2100067138672,172.39999389648438,169.5800018310547,170.22999572753906,160.9136199951172,36142700
2020-02-03,170.42999267578125,174.5,170.39999389648438,174.3800048828125,164.83645629882812,30107000
2020-02-04,177.13999938964844,180.63999938964844,176.30999755859375,180.1199951171875,170.2623291015625,36433300
2020-02-05,184.02999877929688,184.1999969482422,178.41000366210938,179.89999389648438,170.05441284179688,39186300
2020-02-06,180.97000122070312,183.82000732421875,180.05999755859375,183.6300048828125,173.5802459716797,27751400
2020-02-07,182.8500061035156,185.6300048828125,182.47999572753903,183.88999938964844,173.82598876953125,33529100
2020-02-10,183.5800018310547,188.83999633789065,183.25,188.6999969482422,178.372802734375,35844300
2020-02-11,190.6499938964844,190.6999969482422,183.5,184.44000244140625,174.34591674804688,53159900
2020-02-12,185.5800018310547,185.8500061035156,181.8500061035156,184.7100067138672,174.6011505126953,47062900
2020-02-13,183.0800018310547,186.22999572753903,182.8699951171875,183.7100067138672,173.65591430664062,35295800
2020-02-14,183.25,185.4100036621093,182.6499938964844,185.3500061035156,175.2061309814453,23149500
2020-02-18,185.6100006103516,187.6999969482422,185.5,187.22999572753903,176.9832305908203,27792200
2020-02-19,188.0599975585937,188.17999267578125,186.47000122070312,187.27999877929688,177.51405334472656,29997500
2020-02-20,186.9499969482422,187.25,181.1000061035156,184.4199981689453,174.80316162109375,36862400
2020-02-21,183.1699981689453,183.5,177.25,178.58999633789062,169.27719116210938,48572600
2020-02-24,167.77000427246094,174.5500030517578,163.22999572753906,170.88999938964844,161.9787139892578,68311100
2020-02-25,174.1999969482422,174.83999633789062,167.64999389648438,168.07000732421875,159.30581665039062,68073300
2020-02-26,169.7100067138672,173.25999450683594,168.2100067138672,170.1699981689453,161.29627990722656,56206100
2020-02-27,163.32000732421875,167.02999877929688,157.97999572753906,158.17999267578125,149.93145751953125,93174900
2020-02-28,152.41000366210938,163.7100067138672,152.0,162.00999450683594,153.56179809570312,97012700
2020-03-02,165.30999755859375,172.9199981689453,162.30999755859375,172.7899932861328,163.77960205078125,71030800
