,Date,open,high,low,close
0,18295.0,70.06237030029297,72.04995727539062,70.06237030029297,72.04995727539062
1,18297.0,73.84642028808594,74.81155395507812,73.84642028808594,74.81155395507812
2,18299.0,74.18087005615234,74.18087005615234,74.18087005615234,74.18087005615234
3,18301.0,73.69353485107422,73.69353485107422,73.69353485107422,73.69353485107422
4,18303.0,73.76997375488281,74.20954895019531,73.76997375488281,74.20954895019531
5,18305.0,73.86553955078125,73.93242645263672,73.86553955078125,73.93242645263672
6,18307.0,,,,
7,18309.0,72.5468521118164,72.5468521118164,71.86839294433594,71.86839294433594
8,18311.0,72.12640380859375,72.12640380859375,71.34283447265625,71.34283447265625
9,18313.0,70.79815673828125,70.79815673828125,70.79815673828125,70.79815673828125
10,18315.0,67.36766052246094,67.36766052246094,67.36766052246094,67.36766052246094
11,18317.0,66.689208984375,66.79431915283203,66.689208984375,66.79431915283203
12,18319.0,63.937171936035156,63.937171936035156,62.31269836425781,62.31269836425781
13,18321.0,,,,
14,18323.0,62.22669982910156,62.22669982910156,61.347572326660156,61.347572326660156
15,18325.0,64.01361083984375,64.01361083984375,63.382938385009766,63.382938385009766
16,18327.0,60.946231842041016,60.946231842041016,60.946231842041016,60.946231842041016
17,18329.0,55.824378967285156,55.824378967285156,55.824378967285156,55.824378967285156
18,18331.0,53.932350158691406,53.932350158691406,53.578792572021484,53.578792572021484
19,18333.0,46.06324005126953,46.06324005126953,45.915122985839844,45.915122985839844
20,18335.0,,,,
21,18337.0,45.98678970336914,48.323158264160156,45.98678970336914,48.323158264160156
22,18339.0,45.9629020690918,47.60170364379883,45.9629020690918,47.60170364379883
23,18341.0,47.87403869628906,47.87403869628906,47.87403869628906,47.87403869628906
24,18343.0,45.38956069946289,45.38956069946289,45.38956069946289,45.38956069946289
25,18345.0,49.35517501831055,49.393394470214844,49.35517501831055,49.393394470214844
26,18347.0,49.44117736816406,49.44117736816406,48.4187126159668,48.4187126159668
27,18349.0,,,,
28,18351.0,50.339412689208984,50.50185775756836,50.339412689208984,50.50185775756836
29,18353.0,50.01451873779297,50.50185775756836,50.01451873779297,50.50185775756836
30,18355.0,50.673858642578125,50.673858642578125,50.673858642578125,50.673858642578125
31,18357.0,53.31123352050781,53.31123352050781,53.31123352050781,53.31123352050781
32,18359.0,54.74458694458008,54.74458694458008,53.86546325683594,53.86546325683594
33,18361.0,54.91659164428711,54.91659164428711,54.91659164428711,54.91659164428711
34,18363.0,,,,
