Date,Open,High,Low,Close,Adj Close
2020-02-03,268.6170959472656,271.1475830078125,261.9017028808594,268.6170959472656,268.6170959472656
2020-02-13,268.519775390625,273.8726501464844,252.0718688964844,252.0718688964844,252.0718688964844
2020-02-23,241.26876831054688,241.26876831054688,203.7986297607422,212.0712738037109,212.0712738037109
2020-03-04,211.00070190429688,211.00070190429688,149.97789001464844,149.97789001464844,149.97789001464844
2020-03-14,131.72946166992188,131.72946166992188,105.1597137451172,108.51741790771484,108.51741790771484
2020-03-24,115.28150939941406,147.0094757080078,109.87997436523438,109.87997436523438,109.87997436523438
2020-04-03,103.6511688232422,128.8583526611328,103.6511688232422,128.8583526611328,128.8583526611328
2020-04-13,120.97502899169922,120.97502899169922,107.20353698730467,107.9334716796875,107.9334716796875
2020-04-23,109.0527114868164,123.894775390625,105.0623779296875,120.97502899169922,120.97502899169922
2020-05-03,109.78264617919922,124.9167022705078,109.78264617919922,123.86697387695312,123.86697387695312
2020-05-13,117.16875457763672,136.96348571777344,116.51893615722656,131.46495056152344,131.46495056152344
2020-05-23,141.3623046875,152.75927734375,141.3623046875,144.8613739013672,144.8613739013672
2020-06-02,159.6574249267578,178.85231018066406,154.3588409423828,154.3588409423828,154.3588409423828
2020-06-12,155.8584442138672,162.7066192626953,155.8584442138672,162.7066192626953,162.7066192626953
2020-06-22,159.55746459960938,159.55746459960938,149.36016845703125,153.60903930664062,153.60903930664062
2020-07-02,159.50747680664062,159.50747680664062,146.9608154296875,153.0592041015625,153.0592041015625
2020-07-12,154.95867919921875,161.60690307617188,151.00973510742188,155.9584197998047,155.9584197998047
2020-07-22,153.60903930664062,153.60903930664062,142.86190795898438,146.8108673095703,146.8108673095703
2020-08-01,138.81298828125,154.5,138.81298828125,154.5,154.5
2020-08-11,160.5500030517578,160.5500030517578,146.60000610351562,146.60000610351562,146.60000610351562
2020-08-21,145.4499969482422,160.4499969482422,145.4499969482422,157.8000030517578,157.8000030517578
2020-08-31,155.25,164.64999389648438,154.64999389648438,157.14999389648438,157.14999389648438
2020-09-10,157.25,159.4499969482422,156.6999969482422,158.60000610351562,158.60000610351562
2020-09-20,141.9499969482422,142.0,135.4499969482422,141.9499969482422,141.9499969482422
2020-09-30,142.0,156.75,141.75,156.25,156.25
2020-10-10,153.0,154.85000610351562,147.5,154.85000610351562,154.85000610351562
2020-10-20,159.89999389648438,169.3000030517578,144.89999389648438,144.89999389648438,144.89999389648438
2020-10-30,146.5500030517578,166.3000030517578,146.5500030517578,164.1999969482422,164.1999969482422
2020-11-09,191.5,205.3000030517578,190.6499938964844,201.3000030517578,201.3000030517578
2020-11-19,196.0,208.5,194.6499938964844,204.3999938964844,204.3999938964844
2020-11-29,197.9499969482422,211.6000061035156,197.9499969482422,205.5,205.5
2020-12-09,208.3000030517578,209.5,204.5,205.1999969482422,205.1999969482422
2020-12-19,203.6000061035156,216.8999938964844,203.6000061035156,214.1000061035156,214.1000061035156
2020-12-29,217.6999969482422,217.6999969482422,207.0,207.8000030517578,207.8000030517578
2021-01-08,210.1000061035156,212.1000061035156,205.0,212.1000061035156,212.1000061035156
