Date,Open,High,Low,Close,Adj Close
2020-02-03,268.6170959472656,269.4930114746094,268.6170959472656,269.4930114746094,269.4930114746094
2020-02-05,261.9017028808594,265.502685546875,261.9017028808594,265.502685546875,265.502685546875
2020-02-07,267.44921875,267.44921875,267.44921875,267.44921875,267.44921875
2020-02-09,268.7144470214844,268.7144470214844,268.7144470214844,268.7144470214844,268.7144470214844
2020-02-11,271.1475830078125,271.1475830078125,268.6170959472656,268.6170959472656,268.6170959472656
2020-02-13,268.519775390625,273.8726501464844,268.519775390625,273.8726501464844,273.8726501464844
2020-02-15,,,,,
2020-02-17,270.36895751953125,270.36895751953125,268.1304931640625,268.1304931640625,268.1304931640625
2020-02-19,264.62677001953125,264.62677001953125,257.0354309082031,257.0354309082031,257.0354309082031
2020-02-21,252.0718688964844,252.0718688964844,252.0718688964844,252.0718688964844,252.0718688964844
2020-02-23,241.26876831054688,241.26876831054688,241.26876831054688,241.26876831054688,241.26876831054688
2020-02-25,231.3416290283203,231.3416290283203,228.32455444335935,228.32455444335935,228.32455444335935
2020-02-27,223.3609771728516,223.3609771728516,214.7963714599609,214.7963714599609,214.7963714599609
2020-02-29,,,,,
2020-03-02,203.7986297607422,212.0712738037109,203.7986297607422,212.0712738037109,212.0712738037109
2020-03-04,211.00070190429688,211.00070190429688,209.24884033203125,209.24884033203125,209.24884033203125
2020-03-06,198.15377807617188,198.15377807617188,198.15377807617188,198.15377807617188,198.15377807617188
2020-03-08,180.5866241455078,180.5866241455078,180.5866241455078,180.5866241455078,180.5866241455078
2020-03-10,182.67909240722656,182.67909240722656,177.18023681640625,177.18023681640625,177.18023681640625
2020-03-12,155.72006225585938,155.72006225585938,149.97789001464844,149.97789001464844,149.97789001464844
2020-03-14,,,,,
2020-03-16,131.72946166992188,131.72946166992188,124.5760498046875,124.5760498046875,124.5760498046875
2020-03-18,105.1597137451172,121.46165466308594,105.1597137451172,121.46165466308594,121.46165466308594
2020-03-20,127.98242950439452,127.98242950439452,127.98242950439452,127.98242950439452,127.98242950439452
2020-03-22,108.51741790771484,108.51741790771484,108.51741790771484,108.51741790771484,108.51741790771484
2020-03-24,115.28150939941406,131.19415283203125,115.28150939941406,131.19415283203125,131.19415283203125
2020-03-26,147.0094757080078,147.0094757080078,143.2137908935547,143.2137908935547,143.2137908935547
2020-03-28,,,,,
2020-03-30,131.24281311035156,131.24281311035156,129.782958984375,129.782958984375,129.782958984375
2020-04-01,116.6440658569336,116.6440658569336,109.87997436523438,109.87997436523438,109.87997436523438
2020-04-03,103.6511688232422,103.6511688232422,103.6511688232422,103.6511688232422,103.6511688232422
2020-04-05,115.28150939941406,115.28150939941406,115.28150939941406,115.28150939941406,115.28150939941406
2020-04-07,121.55897521972656,121.55897521972656,120.24508666992188,120.24508666992188,120.24508666992188
2020-04-09,128.8583526611328,128.8583526611328,128.8583526611328,128.8583526611328,128.8583526611328
2020-04-11,,,,,
