Date,Open,High,Low,Close,Adj Close
2020-01-31,47.04999923706055,57.81999969482422,46.90999984741211,54.7599983215332,54.7599983215332
2020-02-10,51.790000915527344,54.400001525878906,51.310001373291016,51.310001373291016,51.310001373291016
2020-02-20,52.060001373291016,52.13999938964844,46.70000076293945,47.9900016784668,47.9900016784668
2020-03-01,47.34999847412109,49.77999877929688,39.810001373291016,40.41999816894531,40.41999816894531
2020-03-11,40.18999862670898,40.97999954223633,33.90999984741211,38.66999816894531,38.66999816894531
2020-03-21,40.7599983215332,45.15999984741211,40.7599983215332,41.13999938964844,41.13999938964844
2020-03-31,40.900001525878906,48.0,38.02000045776367,48.0,48.0
2020-04-10,46.650001525878906,50.040000915527344,46.650001525878906,50.040000915527344,50.040000915527344
2020-04-20,50.54999923706055,61.130001068115234,50.119998931884766,60.290000915527344,60.290000915527344
2020-04-30,60.959999084472656,64.6500015258789,59.0,64.6500015258789,64.6500015258789
2020-05-10,64.7300033569336,69.20999908447266,62.91999816894531,69.20999908447266,69.20999908447266
2020-05-20,70.16999816894531,77.27999877929688,70.16999816894531,73.72000122070312,73.72000122070312
2020-05-30,74.94999694824219,82.0,74.94999694824219,80.37000274658203,80.37000274658203
2020-06-09,80.75,84.2699966430664,74.58999633789062,82.26000213623047,82.26000213623047
2020-06-19,81.4000015258789,83.73999786376953,79.81999969482422,82.2300033569336,82.2300033569336
2020-06-29,83.80999755859375,87.9800033569336,83.80999755859375,87.9800033569336,87.9800033569336
2020-07-09,86.1500015258789,86.1500015258789,81.77999877929688,84.4000015258789,84.4000015258789
2020-07-19,86.06999969482422,86.06999969482422,71.3499984741211,71.3499984741211,71.3499984741211
2020-07-29,72.29000091552734,75.08000183105469,71.5999984741211,71.5999984741211,71.5999984741211
2020-08-08,70.38999938964844,73.61000061035156,70.23999786376953,73.61000061035156,73.61000061035156
2020-08-18,72.77999877929688,76.45999908447266,72.77999877929688,74.68000030517578,74.68000030517578
2020-08-28,74.26000213623047,78.33999633789062,71.41000366210938,71.41000366210938,71.41000366210938
2020-09-07,71.55999755859375,83.48999786376953,71.55999755859375,81.80999755859375,81.80999755859375
2020-09-17,77.8499984741211,78.2300033569336,75.22000122070312,76.5999984741211,76.5999984741211
2020-09-27,77.19999694824219,80.98999786376953,75.9000015258789,80.83000183105469,80.83000183105469
2020-10-07,83.08000183105469,90.98999786376952,83.08000183105469,89.27999877929688,89.27999877929688
2020-10-17,91.37999725341795,96.0,81.94999694824219,81.94999694824219,81.94999694824219
2020-10-27,85.18000030517578,85.18000030517578,79.58000183105469,83.91999816894531,83.91999816894531
2020-11-06,85.19999694824219,85.19999694824219,71.37999725341797,76.52999877929688,76.52999877929688
2020-11-16,77.0199966430664,79.83999633789062,75.5199966430664,78.31999969482422,78.31999969482422
2020-11-26,79.12999725341797,79.12999725341797,77.08999633789062,77.08999633789062,77.08999633789062
2020-12-06,76.54000091552734,78.2300033569336,74.31999969482422,78.2300033569336,78.2300033569336
2020-12-16,79.54000091552734,87.56999969482422,79.54000091552734,85.8499984741211,85.8499984741211
2020-12-26,87.08000183105469,87.08000183105469,79.37999725341797,79.37999725341797,79.37999725341797
2021-01-05,81.16000366210938,88.12000274658203,79.44999694824219,88.12000274658203,88.12000274658203
2021-01-15,89.20999908447266,89.20999908447266,89.20999908447266,89.20999908447266,89.20999908447266
