,Date,open,high,low,close
0,18295.0,92.1500015258789,95.0,92.1500015258789,95.0
1,18297.0,96.0,96.0999984741211,96.0,96.0999984741211
2,18299.0,94.94999694824219,94.94999694824219,94.94999694824219,94.94999694824219
3,18301.0,94.80000305175781,94.80000305175781,94.80000305175781,94.80000305175781
4,18303.0,97.4000015258789,97.80000305175781,97.4000015258789,97.80000305175781
5,18305.0,97.5,97.5,96.69999694824219,96.69999694824219
6,18307.0,,,,
7,18309.0,96.5999984741211,96.5999984741211,93.8499984741211,93.8499984741211
8,18311.0,100.0,100.0,97.3499984741211,97.3499984741211
9,18313.0,96.4000015258789,96.4000015258789,96.4000015258789,96.4000015258789
10,18315.0,89.9000015258789,89.9000015258789,89.9000015258789,89.9000015258789
11,18317.0,87.44999694824219,87.44999694824219,86.30000305175781,86.30000305175781
12,18319.0,81.0,81.0,78.80000305175781,78.80000305175781
13,18321.0,,,,
14,18323.0,76.75,76.75,76.0999984741211,76.0999984741211
15,18325.0,74.75,74.75,71.3499984741211,71.3499984741211
16,18327.0,67.80000305175781,67.80000305175781,67.80000305175781,67.80000305175781
17,18329.0,61.599998474121094,61.599998474121094,61.599998474121094,61.599998474121094
18,18331.0,60.900001525878906,60.900001525878906,59.849998474121094,59.849998474121094
19,18333.0,46.439998626708984,46.439998626708984,46.439998626708984,46.439998626708984
20,18335.0,,,,
21,18337.0,42.560001373291016,42.560001373291016,36.439998626708984,36.439998626708984
22,18339.0,35.279998779296875,36.81999969482422,35.279998779296875,36.81999969482422
23,18341.0,40.08000183105469,40.08000183105469,40.08000183105469,40.08000183105469
24,18343.0,38.900001525878906,38.900001525878906,38.900001525878906,38.900001525878906
25,18345.0,46.619998931884766,58.599998474121094,46.619998931884766,58.599998474121094
26,18347.0,57.54999923706055,57.54999923706055,50.5,50.5
27,18349.0,,,,
28,18351.0,50.5,50.5,49.18000030517578,49.18000030517578
29,18353.0,48.939998626708984,50.45000076293945,48.939998626708984,50.45000076293945
30,18355.0,50.25,50.25,50.25,50.25
31,18357.0,57.0,57.0,57.0,57.0
32,18359.0,58.75,60.04999923706055,58.75,60.04999923706055
33,18361.0,61.5,61.5,61.5,61.5
34,18363.0,,,,
35,18365.0,63.95000076293945,63.95000076293945,63.95000076293945,63.95000076293945
36,18367.0,59.70000076293945,59.70000076293945,57.45000076293945,57.45000076293945
37,18369.0,59.900001525878906,59.900001525878906,59.900001525878906,59.900001525878906
38,18371.0,61.25,61.25,61.25,61.25
39,18373.0,57.29999923706055,58.0,57.29999923706055,58.0
40,18375.0,57.400001525878906,57.400001525878906,54.400001525878906,54.400001525878906
41,18377.0,,,,
42,18379.0,54.900001525878906,57.599998474121094,54.900001525878906,57.599998474121094
43,18381.0,62.650001525878906,62.650001525878906,61.650001525878906,61.650001525878906
44,18383.0,,,,
45,18385.0,56.900001525878906,56.900001525878906,56.900001525878906,56.900001525878906
46,18387.0,59.20000076293945,59.20000076293945,57.95000076293945,57.95000076293945
47,18389.0,57.650001525878906,61.150001525878906,57.650001525878906,61.150001525878906
48,18391.0,,,,
49,18393.0,60.150001525878906,60.150001525878906,58.70000076293945,58.70000076293945
50,18395.0,56.29999923706055,56.29999923706055,55.849998474121094,55.849998474121094
51,18397.0,56.75,56.75,56.75,56.75
52,18399.0,63.54999923706055,63.54999923706055,63.54999923706055,63.54999923706055
53,18401.0,66.94999694824219,67.19999694824219,66.94999694824219,67.19999694824219
54,18403.0,64.55000305175781,67.30000305175781,64.55000305175781,67.30000305175781
55,18405.0,,,,
56,18407.0,70.0,71.9000015258789,70.0,71.9000015258789
